x1,x2
0.251558710527107,30
0.25,48.8871802971043
0.25,46.9656303558843
0.25,44.8935349965181
0.25,44.6888606967975
0.25,48.2053598003582
0.251879235032848,45.866450927678
0.25,36.2699246021704
0.25,32.9334798051341
0.25,39.329855994187
0.25,33.6560821244072
0.25,34.7251277513381
0.25,48.7652764060603
0.25,46.3348326339784
0.250866447506939,30.7510678153012
0.25,33.4182201632456
0.254740104431319,43.0099339571429
0.25,34.3814104052119
0.25,41.8835557668058
0.25,46.5354391533687
0.25,38.9404287373266
0.25,30.8846788508621
0.25,48.1056668562663
0.25,45.4802384052791
0.25,42.6239645393636
0.25,36.0247724058142
0.25,30.557680561666
0.25,31.0468350422522
0.25,32.0684447003097
0.25,38.4012092506903
0.25,47.6803125489197
0.25,46.7768273269722
0.25,31.2600852774452
0.25,31.8908519254261
0.25,34.2099400235442
0.25,31.6444217166392
0.25,44.5160122421412
0.25,32.3493395717042
0.25,46.6713807936372
0.25,32.6000783642582
0.25,41.1074861469996
0.25,44.3867516404781
0.25,44.1419941516908
0.25,31.470451210092
0.25,39.9018371307283
0.25,42.3100682400932
0.25,45.1365955715366
0.25,41.5319854323962
0.25,40.4841849779453
0.25,45.9626714119275
0.25,38.0832235916199
0.25,35.5210358702864
0.25,43.9435541382913
0.25,36.7574544138569
0.25,30.0187327460185
0.25,40.9675468944672
0.25,35.828686948036
0.25,43.394434317201
0.25,47.6853198153024
0.254023089568024,40.3935713868406
0.25,41.354920240469
0.25,40.8696033597547
0.25,40.0018915653004
0.25,33.9783347661982
0.255177761807624,37.648754675338
0.25,43.1255087207088
0.25,43.5044032099939
0.251571382801985,32.2510589821488
0.25,36.4788318568597
0.25,32.5821412441459
0.250307917590771,35.15136485179
0.25,33.8884351570454
0.25,40.1373418813173
0.25,42.0890323979861
0.25,39.7305867818495
0.25,42.4484377850103
0.25,37.2454525157106
0.25,46.142164832078
0.25,34.289765920909
0.25,37.841416094185
0.25,36.9370304842121
0.25,30.4316421564773
0.25,43.0545309757942
0.25,35.6863097627673
0.25,34.8705497822028
0.25,46.2420944565386
0.25,35.1037420600108
0.25,30.3885127799591
0.25,38.5549153743592
0.25,46.2347609572747
0.25,46.0955363288539
0.25,34.8393927437258
0.25,39.4933391794879
0.25,40.632828663301
0.25,42.5312738125542
0.25,37.8221837796198
0.25,40.5952882791853
0.253698912663817,41.9771084792763
0.25,39.689324283184
0.25,33.1989469134879
